clean_line1,clean_line2,line3,city,zip_code,label,phone,address,year,major_city,state,chain,address_standardized_ON_parenthesis,address_standardized_OFF_parenthesis,Address_Type,Exit_Number,Flagged,Flag_Reason,Is_Unclear_OCR
A Hogansburg ( 13655 ) Bear's Den Trading Post,518-358-9519 425 NY 37 ( Mohawk Reservation ),S <U+2610>,Hogansburg,13655,Bear's Den Trading Post,518-358-9519,425 NY 37 ( Mohawk Reservation ),2014,Hogansburg,NY,,( Mohawk Reservation ),425 NY 37,Proper,,False,,False
A Hogansburg ( 13655 ) Bear's Den Trading Post,518-358-9519 425 NY 37 ( Mohawk,24 S,Hogansburg,13655,Bear's Den Trading Post,518-358-9519,425 NY 37 ( Mohawk,2015,Hogansburg,NY,,( Mohawk,425 NY 37,Proper,,False,,False
A Hogansburg ( 13655 ) Bear's Den Trading Post,518-358-9519 425 NY 37 ( Mohawk Reservation ),24 m 13 S D <U+2610>,Hogansburg,13655,Bear's Den Trading Post,518-358-9519,425 NY 37 ( Mohawk Reservation ),2016,Hogansburg,NY,,( Mohawk Reservation ),425 NY 37,Proper,,False,,False
"Apalachin , 13732 Express Mart # 357 ( Mobil )",607-625-2887 I-86 Exit 66 ( S to,48 <U+2610>,Apalachin,13732,Express Mart # 357 ( Mobil ),607-625-2887,I-86 Exit 66 ( S to,2006,Apalachin,NY,Mobil,( S to,I-86 Exit 66 ,Exit,66,False,,False
"E Apalachin , 13732 Express Mart # 357 ( Mobil )",607-625-2887 I-86 Exit 66 ( S to NY 434 ),HRS 24 <U+2610>,Apalachin,13732,Express Mart # 357 ( Mobil ),607-625-2887,I-86 Exit 66 ( S to NY 434 ),2007,Apalachin,NY,Mobil,( S to NY 434 ),I-86 Exit 66 ,Exit,66,False,,False
"E Apalachin , 13732 Express Mart # 357 ( Mobil )",5 607-625-2887 I-86 Exit 66 ( S to NY 434 ),24,Apalachin,13732,Express Mart # 357 ( Mobil ),607-625-2887,I-86 Exit 66 ( S to NY 434 ),2008,Apalachin,NY,Mobil,( S to NY 434 ),I-86 Exit 66 ,Exit,66,False,,False
E Apalachin ( 13732 ) Express Mart # 357 ( Sunoco ),5 607-625-2887 I-86 Exit 66 ( S to NY 434 ),24,Apalachin,13732,Express Mart # 357 ( Sunoco ),607-625-2887,I-86 Exit 66 ( S to NY 434 ),2014,Apalachin,NY,Sunoco,( S to NY 434 ),I-86 Exit 66 ,Exit,66,False,,False
E Apalachin ( 13732 ) Express Mart # 357 ( Sunoco ),607-625-2887 I-86 Exit 66 ( S to NY 434 ),,Apalachin,13732,Express Mart # 357 ( Sunoco ),607-625-2887,I-86 Exit 66 ( S to NY 434 ),2015,Apalachin,NY,Sunoco,( S to NY 434 ),I-86 Exit 66 ,Exit,66,False,,False
E Apalachin ( 13732 ) Express Mart ) MM # 357 447 ( Sunoco EB / WB ),607-625-2887 I-86 Exit 66 ( S to NY ),24 24 0,Apalachin,13732,Express Mart ) MM # 357 447 ( Sunoco EB / WB ),607-625-2887,I-86 Exit 66 ( S to NY ),2016,Apalachin,NY,Sunoco,( S to NY ),I-86 Exit 66 ,Exit,66,False,,False
"E Bainbridge , 13733 Xtra Mart ( Sunoco )",6 607-967-8488 I-88 Exit 8 ( NY 206 ),45 <U+2610> D O,Bainbridge,13733,Xtra Mart ( Sunoco ),607-967-8488,I-88 Exit 8 ( NY 206 ),2006,Bainbridge,NY,Sunoco,( NY 206 ),I-88 Exit 8 ,Exit,8,False,,False
"Bainbridge , 13733 Xtra Mart ( Sunoco )",607-967-8488 I-88 Exit 8 ( NY 206 ),<U+2610>,Bainbridge,13733,Xtra Mart ( Sunoco ),607-967-8488,I-88 Exit 8 ( NY 206 ),2007,Bainbridge,NY,Sunoco,( NY 206 ),I-88 Exit 8 ,Exit,8,False,,False
"Bainbridge , 13733 Xtra Mart ( Sunoco )",6 607-967-8488 I-88 Exit 8 ( NY 206 ),HRS 24 <U+2610> <U+2610> <U+2610>,Bainbridge,13733,Xtra Mart ( Sunoco ),607-967-8488,I-88 Exit 8 ( NY 206 ),2008,Bainbridge,NY,Sunoco,( NY 206 ),I-88 Exit 8 ,Exit,8,False,,False
Bainbridge ( 13733 ) Xtra Mart ( Sunoco 20 ) ),6 607-967-8488 I-88 Exit 8 ( NY 206 ),24 <U+2610>,Bainbridge,13733,Xtra Mart ( Sunoco 20 ) ),607-967-8488,I-88 Exit 8 ( NY 206 ),2014,Bainbridge,NY,Sunoco,( NY 206 ),I-88 Exit 8 ,Exit,8,False,,False
E Bainbridge ( 13733 ) Xtra Mart ( Sunoco ) ),6 607-967-8488 I-88 Exit 8 ( NY 206 ),24,Bainbridge,13733,Xtra Mart ( Sunoco ) ),607-967-8488,I-88 Exit 8 ( NY 206 ),2015,Bainbridge,NY,Sunoco,( NY 206 ),I-88 Exit 8 ,Exit,8,False,,False
E Bainbridge ( 13733 ) Xtra Mart ( Sunoco ( US 20 ) ),6 607-967-8488 I-88 Exit 8 ( NY 206 ),24 240,Bainbridge,13733,Xtra Mart ( Sunoco ( US 20 ) ),607-967-8488,I-88 Exit 8 ( NY 206 ),2016,Bainbridge,NY,Sunoco,( NY 206 ),I-88 Exit 8 ,Exit,8,False,,False
"Harpursville , 13787 Red Barrel # 2",607-693-1414 I-88 Exit 6,24 24 S,Harpursville,13787,Red Barrel # 2,607-693-1414,I-88 Exit 6,2006,Harpursville,NY,,,I-88 Exit 6,Exit,6,False,,False
"Harpursville , 13787 Red Barrel # 2",6 607-693-1414 I-88 Exit 6,S <U+2610>,Harpursville,13787,Red Barrel # 2,607-693-1414,I-88 Exit 6,2007,Harpursville,NY,,,I-88 Exit 6,Exit,6,False,,False
"Harpursville , 13787 Quickway Food Store # 74",6 607-693-1414 I-88 Exit 6,<U+2610> Sa <U+25A1> <U+25A1>,Harpursville,13787,Quickway Food Store # 74,607-693-1414,I-88 Exit 6,2008,Harpursville,NY,,,I-88 Exit 6,Exit,6,False,,False
Harpursville ( 13787 ) Mirabito # 74,6 607-693-1414 I-88 Exit 6,<U+2610> S,Harpursville,13787,Mirabito # 74,607-693-1414,I-88 Exit 6,2014,Harpursville,NY,,,I-88 Exit 6,Exit,6,False,,False
E Harpursville ( 13787 ) Mirabito # 74,6 607-693-1414 I-88 Exit 6,24 <U+2610> S D,Harpursville,13787,Mirabito # 74,607-693-1414,I-88 Exit 6,2015,Harpursville,NY,,,I-88 Exit 6,Exit,6,False,,False
E Harpursville ( 13787 ) Mirabito # 74,6 607-693-1414 I-88 Exit 6,<U+2610> S <U+2610>,Harpursville,13787,Mirabito # 74,607-693-1414,I-88 Exit 6,2016,Harpursville,NY,,,I-88 Exit 6,Exit,6,False,,False
"E Milford , 13807 Red Barrel # 14 ( Citgo",607-286-3313 NY 28 ),,Milford,13807,Red Barrel # 14 ( Citgo,607-286-3313,NY 28 ),2006,Milford,NY,Citgo,,NY 28 ,empty,,False,,False
"E Milford , 13807 Apple Food & Grocery",607-286-3313 NY 28,O,Milford,13807,Apple Food & Grocery,607-286-3313,NY 28,2007,Milford,NY,,,NY 28,empty,,False,,False
"Milford , 13807 Apple Food &",607-286-3313 NY 28 Grocery,HRS <U+2610> <U+2610> <U+25A1> <U+25A1>,Milford,13807,Apple Food &,607-286-3313,NY 28 Grocery,2008,Milford,NY,,,NY 28 Grocery,empty,,False,,False
E Milford ( 13807 ) Apple Food Store,6 607-286-3313 NY 28,,Milford,13807,Apple Food Store,607-286-3313,NY 28,2014,Milford,NY,,,NY 28,empty,,False,,False
E Milford ( 13807 ) Apple Food Store,6 607-286-3313 NY 28,<U+2610>,Milford,13807,Apple Food Store,607-286-3313,NY 28,2015,Milford,NY,,,NY 28,empty,,False,,False
E Milford ( 13807 ) Apple Food Store,607-286-3313 NY 28,,Milford,13807,Apple Food Store,607-286-3313,NY 28,2016,Milford,NY,,,NY 28,empty,,False,,False
"Nichols , 13812 Lounsberry Truck NY 104 , nr Rainbow Brg",607-687-3957 I-86 Exit 63 Stop ( Exxon ),24 HRS 48 <U+2022> L <U+2610><U+2610>,Nichols Lounsberry Truck,13812,"Lounsberry Truck NY 104 , nr Rainbow Brg",607-687-3957,I-86 Exit 63 Stop ( Exxon ),2006,Nichols,NY,,( Exxon ),I-86 Exit 63 Stop ,Exit,63,False,,False
"Nichols , 13812 Lounsberry Truck Stop ( Valero )",607-687-3957 I-86 Exit 63,24 HRS <U+2610> <U+2610><U+2610> O,Nichols,13812,Lounsberry Truck Stop ( Valero ),607-687-3957,I-86 Exit 63,2007,Nichols,NY,Valero,,I-86 Exit 63,Exit,63,False,,False
"Nichols , 13812 Lounsberry Truck Stop ( Valero ) Brg )",5 607-687-3957 I-86 Exit 63,) 24 MRS <U+2610><U+2610>,Nichols,13812,Lounsberry Truck Stop ( Valero ) Brg ),607-687-3957,I-86 Exit 63,2008,Nichols,NY,Valero,,I-86 Exit 63,Exit,63,False,,False
Nichols ( 13812 ) Lounsberry Truck Stop ( Valero ),607-687-3957 I-86 Exit 63,24 <U+2610>,Nichols,13812,Lounsberry Truck Stop ( Valero ),607-687-3957,I-86 Exit 63,2014,Nichols,NY,Valero,,I-86 Exit 63,Exit,63,False,,False
Nichols ( 13812 ) Lounsberry Truck Stop ( Valero ),5 607-687-3957 I-86 Exit 63,24 LO <U+2610> <U+2610>,Nichols,13812,Lounsberry Truck Stop ( Valero ),607-687-3957,I-86 Exit 63,2015,Nichols,NY,Valero,,I-86 Exit 63,Exit,63,False,,False
Nichols ( 13812 ) Lounsberry Truck Stop ( Valero ),5 607-687-3957 I-86 Exit 63,24 LOO 24 <U+2610> <U+2610>,Nichols,13812,Lounsberry Truck Stop ( Valero ),607-687-3957,I-86 Exit 63,2016,Nichols,NY,Valero,,I-86 Exit 63,Exit,63,False,,False
"E Nichols , 13812 Dandy Mini Mart # 14",5 607-699-3538 NY 17 Exit 62 ( Citgo ),24 HRS 489 S <U+2610>,Nichols,13812,Dandy Mini Mart # 14,607-699-3538,NY 17 Exit 62 ( Citgo ),2006,Nichols,NY,,( Citgo ),NY 17 Exit 62 ,Exit,62,False,,False
"Nichols , 13812 Dandy Mini Mart # 14 ( Citgo )",607-699-3538 NY 17 Exit 62,24 HRS MO <U+2610>,Nichols,13812,Dandy Mini Mart # 14 ( Citgo ),607-699-3538,NY 17 Exit 62,2007,Nichols,NY,Citgo,,NY 17 Exit 62,Exit,62,False,,False
"Nichols , 13812 I-86 Dandy Exit Mini 63 Mart # 14 (",51607-699-3538 NY 17 Exit 62 Citgo ),"MRS 24 M <U+2610><U+2610> """,Nichols,13812,I-86 Dandy Exit Mini 63 Mart # 14 (,607-699-3538,NY 17 Exit 62 Citgo ),2008,Nichols,NY,,,NY 17 Exit 62 Citgo ,Exit,62,False,,False
Nichols ( 13812 ) Dandy Mini Mart # 14 ( Citgo ),607-699-3538 NY 17 Exit 62,24 <U+25A1> <U+25A1> <U+25A1>,Nichols,13812,Dandy Mini Mart # 14 ( Citgo ),607-699-3538,NY 17 Exit 62,2014,Nichols,NY,Citgo,,NY 17 Exit 62,Exit,62,False,,False
Nichols ( 13812 ) Dandy Mini Mart # 14 ( Citgo ),5 607-699-3538 NY 17 Exit 62,24 LO <U+25A1> <U+25A1>,Nichols,13812,Dandy Mini Mart # 14 ( Citgo ),607-699-3538,NY 17 Exit 62,2015,Nichols,NY,Citgo,,NY 17 Exit 62,Exit,62,False,,False
Nichols ( 13812 ) Dandy Mini Mart # 14 ( Citgo ),5 607-699-3538 NY 17 Exit 62,24 LO <U+25A1> 24,Nichols,13812,Dandy Mini Mart # 14 ( Citgo ),607-699-3538,NY 17 Exit 62,2016,Nichols,NY,Citgo,,NY 17 Exit 62,Exit,62,False,,False
"E Norwich , 13815 Hess Express # 32381 Exit 23 - US 9N )",607-334-9557 5644 NY 12,,Norwich,13815,Hess Express # 32381 Exit 23 - US 9N ),607-334-9557,5644 NY 12,2006,Norwich,NY,,,5644 NY 12,Proper,23,False,,False
"Norwich , 13815 Hess Express # 32381",51607-334-9557 5644 NY 12,00,Norwich,13815,Hess Express # 32381,607-334-9557,5644 NY 12,2007,Norwich,NY,,,5644 NY 12,Proper,,False,,False
"E Norwich , 13815 Hess Express # 32381",5 607-334-9557 5644 NY 12,<U+2610> [ ] <U+2610> <U+2610>,Norwich,13815,Hess Express # 32381,607-334-9557,5644 NY 12,2008,Norwich,NY,,,5644 NY 12,Proper,,False,,False
E Norwich ( 13815 ) Hess Express # 32381,607-334-9557 5644 NY 12,<U+25A1> <U+2610> <U+25A1>,Norwich,13815,Hess Express # 32381,607-334-9557,5644 NY 12,2014,Norwich,NY,,,5644 NY 12,Proper,,False,,False
Norwich ( 13815 ) Hess Express # 32381,607-334-9557 5644 NY 12,<U+2610> <U+2610> 0,Norwich,13815,Hess Express # 32381,607-334-9557,5644 NY 12,2015,Norwich,NY,,,5644 NY 12,Proper,,False,,False
Norwich ( 13815 ) Speedway # 7692 <U+25A1>,5 607-334-9557 5644 NY 12,<U+25A1> <U+2610>,Norwich,13815,Speedway # 7692 <U+25A1>,607-334-9557,5644 NY 12,2016,Norwich,NY,Speedway,,5644 NY 12,Proper,,False,,False
"E Otego , 13825 Red Barrel # 25 ( Mobil )",6 607-988-9080 I-88 Exit 12 ( CR 48 ),HRS 24 HRS M,Otego,13825,Red Barrel # 25 ( Mobil ),607-988-9080,I-88 Exit 12 ( CR 48 ),2006,Otego,NY,Mobil,( CR 48 ),I-88 Exit 12 ,Exit,12,False,,False
"Otego , 13825 Red Barrel # 25",607-988-9080 I-88 Exit 12 ( CR 48 ),24 HRS MO <U+2610>,Otego,13825,Red Barrel # 25,607-988-9080,I-88 Exit 12 ( CR 48 ),2007,Otego,NY,,( CR 48 ),I-88 Exit 12 ,Exit,12,False,,False
"Otego , 13825 Quickway Food Store # 73 ( Citgo )",6 607-988-9080 I-88 Exit 12 ( CR 48 ),24 MRS M <U+2610><U+2610><U+2610>,Otego,13825,Quickway Food Store # 73 ( Citgo ),607-988-9080,I-88 Exit 12 ( CR 48 ),2008,Otego,NY,Citgo,( CR 48 ),I-88 Exit 12 ,Exit,12,False,,False
E Otego ( 13825 ) Mirabito # 73,6 607-988-9080 I-88 Exit 12 ( CR 48 ),24 M <U+2610> <U+2610>,Otego,13825,Mirabito # 73,607-988-9080,I-88 Exit 12 ( CR 48 ),2014,Otego,NY,,( CR 48 ),I-88 Exit 12 ,Exit,12,False,,False
Otego ( 13825 ) Mirabito # 73,6 607-988-9080 I-88 Exit 12 ( CR 48 ),24 M <U+2610> <U+25A1>,Otego,13825,Mirabito # 73,607-988-9080,I-88 Exit 12 ( CR 48 ),2015,Otego,NY,,( CR 48 ),I-88 Exit 12 ,Exit,12,False,,False
E Otego ( 13825 ) Mirabito # 73 24 312,6 607-988-9080 I-88 Exit 12 ( CR 48 ),24 312 M D,Otego,13825,Mirabito # 73 24 312,607-988-9080,I-88 Exit 12 ( CR 48 ),2016,Otego,NY,,( CR 48 ),I-88 Exit 12 ,Exit,12,False,,False
"Sanitaria Sprgs , 13833 Hess Express # 32379",607-648-2700 I-88 Exit 4 ( NY 7 ),24 M,Sanitaria Sprgs,13833,Hess Express # 32379,607-648-2700,I-88 Exit 4 ( NY 7 ),2006,Port Crane,NY,,( NY 7 ),I-88 Exit 4 ,Exit,4,False,,False
"E Sanitaria Sprgs , 13833 Hess Express # 32379",607-648-2700 I-88 Exit 4 ( NY 7 ),S <U+2610>,Sanitaria Sprgs,13833,Hess Express # 32379,607-648-2700,I-88 Exit 4 ( NY 7 ),2007,Port Crane,NY,,( NY 7 ),I-88 Exit 4 ,Exit,4,False,,False
"Sanitaria Springs , 13833 Hess Express # 32379",5 607-648-2700 I-88 Exit 4 ( NY 7 ),S <U+2610> 1 <U+2610>,Sanitaria Springs,13833,Hess Express # 32379,607-648-2700,I-88 Exit 4 ( NY 7 ),2008,Port Crane,NY,,( NY 7 ),I-88 Exit 4 ,Exit,4,False,,False
Sanitaria Springs ( 13833 ) Hess Express # 32379,607-648-2700 I-88 Exit 4 ( NY 7 ),O S,Sanitaria Springs,13833,Hess Express # 32379,607-648-2700,I-88 Exit 4 ( NY 7 ),2014,Port Crane,NY,,( NY 7 ),I-88 Exit 4 ,Exit,4,False,,False
Sanitaria Springs ( 13833 ) Hess Express # 32379 US 20 ),607-648-2700 I-88 Exit 4 ( NY 7 ),<U+2610> S <U+2610>,Sanitaria Springs,13833,Hess Express # 32379 US 20 ),607-648-2700,I-88 Exit 4 ( NY 7 ),2015,Port Crane,NY,,( NY 7 ),I-88 Exit 4 ,Exit,4,False,,False
E Sanitaria Springs ( 13833 ) Speedway,5 607-648-2700 I-88 Exit 4 ( NY 7 ),S <U+2610>,Sanitaria Springs,13833,Speedway,607-648-2700,I-88 Exit 4 ( NY 7 ),2016,Port Crane,NY,Speedway,( NY 7 ),I-88 Exit 4 ,Exit,4,False,,False
"Binghamton , 13904 Pilot Travel Center ( 2 mi # E 170 of NY 17 X 48 )",607-651-9153 I-81 Exit 2 W NB / 3,24 L <U+2610>,Binghamton,13904,Pilot Travel Center ( 2 mi # E 170 of NY 17 X 48 ),607-651-9153,I-81 Exit 2 W NB / 3,2006,Binghamton,NY,Pilot,,I-81 Exit 2 W NB / 3,Exit,2,False,,False
"Binghamton , 13904 Pilot Travel Center # 170",607-651-9153 I-81 Exit 2 W NB / 3 SB,424 -,Binghamton,13904,Pilot Travel Center # 170,607-651-9153,I-81 Exit 2 W NB / 3 SB,2007,Binghamton,NY,Pilot,,I-81 Exit 2 W NB / 3 SB,Exit,2,False,,False
"E Binghamton , 13904 Pilot Travel Center # 170",5 607-651-9153 I-81 Exit 2 W NB / 3 SB,HR3 24 <U+2610><U+2610>,Binghamton,13904,Pilot Travel Center # 170,607-651-9153,I-81 Exit 2 W NB / 3 SB,2008,Binghamton,NY,Pilot,,I-81 Exit 2 W NB / 3 SB,Exit,2,False,,False
E Binghamton ( 13904 ) Love's Travel Stop # 403 E of I-86 X 48 ),607-651-9153 I-81 Exit 2 W NB / 3 SB,24,Binghamton,13904,Love's Travel Stop # 403 E of I-86 X 48 ),607-651-9153,I-81 Exit 2 W NB / 3 SB,2014,Binghamton,NY,Love's,,I-81 Exit 2 W NB / 3 SB,Exit,2,False,,False
Binghamton ( 13904 ) Love's Travel Stop # 403 X 48 ),607-651-9153 I-81 Exit 2 W NB / 3 SB,24 <U+2610>,Binghamton,13904,Love's Travel Stop # 403 X 48 ),607-651-9153,I-81 Exit 2 W NB / 3 SB,2015,Binghamton,NY,Love's,,I-81 Exit 2 W NB / 3 SB,Exit,2,False,,False
E Binghamton ( 13904 ) Love's Travel Stop ( 2 mi # 403 E of I-86 X 48 ),607-651-9153 I-81 Exit 2 W NB / 3 SB,24 MO 24,Binghamton,13904,Love's Travel Stop ( 2 mi # 403 E of I-86 X 48 ),607-651-9153,I-81 Exit 2 W NB / 3 SB,2016,Binghamton,NY,Love's,,I-81 Exit 2 W NB / 3 SB,Exit,2,False,,False
"Binghamton , 13904 TravelCenters of America",607-775-3500 I-81 Exit 2 W NB / 3,,Binghamton,13904,TravelCenters of America,607-775-3500,I-81 Exit 2 W NB / 3,2006,Binghamton,NY,TravelCenters,,I-81 Exit 2 W NB / 3,Exit,2,False,,False
"Binghamton , 13904 TravelCenters of America",607-775-3500 I-81 Exit 2 W NB / 3 SB ( US 11 ) TA,425 L,Binghamton,13904,TravelCenters of America,607-775-3500,I-81 Exit 2 W NB / 3 SB ( US 11 ) TA,2007,Binghamton,NY,TravelCenters,( US 11 ) TA,I-81 Exit 2 W NB / 3 SB ,Exit,2,False,,False
"Binghamton , 13904 TravelCenters of America",5 607-775-3500 I-81 Exit 2 W NB / 3 SB ( US 11 ) A,HRS 24 <U+2610><U+2610><U+2610> 240 HRS O,Binghamton,13904,TravelCenters of America,607-775-3500,I-81 Exit 2 W NB / 3 SB ( US 11 ) A,2008,Binghamton,NY,TravelCenters,( US 11 ) A,I-81 Exit 2 W NB / 3 SB ,Exit,2,False,,False
E Binghamton ( 13904 ) TA Binghamton # 207,5 607-775-3500 I-81 Exit 2 W NB / 3 SB ( US 11 ),ZA 24 <U+2610> L00 24,Binghamton,13904,TA Binghamton # 207,607-775-3500,I-81 Exit 2 W NB / 3 SB ( US 11 ),2014,Binghamton,NY,,( US 11 ),I-81 Exit 2 W NB / 3 SB ,Exit,2,False,,False
Binghamton ( 13904 ) TA Binghamton # 207,607-775-3500 I-81 Exit 2 W NB / 3 SB ( 11,24 <U+2610> LOO 24,Binghamton,13904,TA Binghamton # 207,607-775-3500,I-81 Exit 2 W NB / 3 SB ( 11,2015,Binghamton,NY,,( 11,I-81 Exit 2 W NB / 3 SB ,Exit,2,False,,False
Binghamton ( 13904 ) TA Binghamton # 207,607-775-3500 I-81 Exit 2 W NB / 3 SB ( US 11 ),24 <U+25A1> LOO 24,Binghamton,13904,TA Binghamton # 207,607-775-3500,I-81 Exit 2 W NB / 3 SB ( US 11 ),2016,Binghamton,NY,,( US 11 ),I-81 Exit 2 W NB / 3 SB ,Exit,2,False,,False
"Crittenden , 14004 Wilson Farms # 767 ( Sunoco )",716-937-4888 NY 33 & Walden Ave,24 M <U+2610>,Crittenden,14004,Wilson Farms # 767 ( Sunoco ),716-937-4888,NY 33 & Walden Ave,2006,Alden,NY,Sunoco,,NY 33 & Walden Ave,empty,,False,,False
"Crittenden , 14004 Wilson Farms # 767 ( Sunoco )",31716-937-4888 NY 33 & Walden Ave,,Crittenden,14004,Wilson Farms # 767 ( Sunoco ),716-937-4888,NY 33 & Walden Ave,2007,Alden,NY,Sunoco,,NY 33 & Walden Ave,empty,,False,,False
"Crittenden , 14004 Wilson Farms # 767 ( Sunoco )",716-937-4888 NY 33 & Walden Ave,<U+2610> <U+2610>,Crittenden,14004,Wilson Farms # 767 ( Sunoco ),716-937-4888,NY 33 & Walden Ave,2008,Alden,NY,Sunoco,,NY 33 & Walden Ave,empty,,False,,False
D Crittenden ( 14004 ) 7-11 # 35254,716-937-4888 NY 33 & Walden Ave,24 <U+2610> <U+2610>,Crittenden,14004,7-11 # 35254,716-937-4888,NY 33 & Walden Ave,2014,Alden,NY,,,NY 33 & Walden Ave,empty,,False,,False
D Crittenden ( 14004 ) 7 - Eleven # 35254,716-937-4888 NY 33 & Walden Ave,24 D,Crittenden,14004,7 - Eleven # 35254,716-937-4888,NY 33 & Walden Ave,2015,Alden,NY,Eleven,,NY 33 & Walden Ave,empty,,False,,False
D Crittenden ( 14004 ) 7 - Eleven # 35254,716-937-4888 NY 33 & Walden Ave,24 <U+25A1> <U+25A1>,Crittenden,14004,7 - Eleven # 35254,716-937-4888,NY 33 & Walden Ave,2016,Alden,NY,Eleven,,NY 33 & Walden Ave,empty,,False,,False
"E Angola , 14006 Angola Service Area Rd W ( ( Mobil N of NY 104 )",716-549-3333 I-90 ( ) ),24 481 24 <U+2610>,Angola,14006,Angola Service Area Rd W ( ( Mobil N of NY 104 ),716-549-3333,I-90 ( ) ),2006,Angola,NY,Mobil,( ) ),I-90,empty,,False,,False
"E Angola , 14006 Angola Service Area ( Mobil )",716-549-3333 I-90 ( NYTP ) MM 447 WB,24 +8 L <U+2610> -,Angola,14006,Angola Service Area ( Mobil ),716-549-3333,I-90 ( NYTP ) MM 447 WB,2007,Angola,NY,Mobil,( NYTP ) MM 447 WB,I-90,empty,,False,,False
"Angola , 14006 Angola Service Area ( Sunoco )",716-549-3333 I-90 ( NYTP ) MM 447 WB,24 <U+2610><U+2610> 24,Angola,14006,Angola Service Area ( Sunoco ),716-549-3333,I-90 ( NYTP ) MM 447 WB,2008,Angola,NY,Sunoco,( NYTP ) MM 447 WB,I-90,empty,,False,,False
E Angola ( 14006 ) Angola Service Area ( Sunoco ),716-549-3333 I-90 ( NYTP ) MM 447 EB / WB,24 SO D,Angola,14006,Angola Service Area ( Sunoco ),716-549-3333,I-90 ( NYTP ) MM 447 EB / WB,2014,Angola,NY,Sunoco,( NYTP ) MM 447 EB / WB,I-90,empty,,False,,False
E Angola ( 14006 ) Angola Service Area ( Sunoco ),716-549-3333 I-90 ( NYTP ) MM 447 EB / WB,124 S D,Angola,14006,Angola Service Area ( Sunoco ),716-549-3333,I-90 ( NYTP ) MM 447 EB / WB,2015,Angola,NY,Sunoco,( NYTP ) MM 447 EB / WB,I-90,empty,,False,,False
E Angola ( 14006 ) Angola Service Area ( Sunoco ),716-549-3333 I-90 ( NYTP ) MM 447 EB / WB,24 SO 225 24 <U+25A1>,Angola,14006,Angola Service Area ( Sunoco ),716-549-3333,I-90 ( NYTP ) MM 447 EB / WB,2016,Angola,NY,Sunoco,( NYTP ) MM 447 EB / WB,I-90,empty,,False,,False
"D Pembroke , 14036 Flying J Travel Plaza 63 #",585-599-4430 I-90 ( NYTP ) 0500049,# 24 HRS XL 124 HRS,Pembroke,14036,Flying J Travel Plaza 63 #,585-599-4430,I-90 ( NYTP ) 0500049,2006,Corfu,NY,Flying J,( NYTP ) 0500049,I-90,empty,,False,,False
"Pembroke , 14036 J Travel Plaza # 0500049",585-599-4430 Flying I-90 ( NYTP ) Exit 48 A,FRS 24 XL,Pembroke,14036,J Travel Plaza # 0500049,585-599-4430,Flying I-90 ( NYTP ) Exit 48 A,2007,Corfu,NY,,( NYTP ) Exit 48 A,Flying I-90,empty,,False,,False
"Pembroke , 14036 Flying J Travel Plaza # 0500049",3 585-599-4430 I-90 ( NYTP ) Exit 48 A,HRS 24 XLO 24,Pembroke,14036,Flying J Travel Plaza # 0500049,585-599-4430,I-90 ( NYTP ) Exit 48 A,2008,Corfu,NY,Flying J,( NYTP ) Exit 48 A,I-90,empty,,False,,False
D Pembroke ( 14036 ) Flying J Travel Plaza # 693,3 585-599-4430 I-90 ( NYTP ) Exit 48 A,24 24,Pembroke,14036,Flying J Travel Plaza # 693,585-599-4430,I-90 ( NYTP ) Exit 48 A,2014,Corfu,NY,Flying J,( NYTP ) Exit 48 A,I-90,empty,,False,,False
D Pembroke ( 14036 ) Flying J Travel Plaza # 693,585-599-4430 I-90 ( NYTP ) Exit 48 A,FLYING J 24 XL 24,Pembroke,14036,Flying J Travel Plaza # 693,585-599-4430,I-90 ( NYTP ) Exit 48 A,2015,Corfu,NY,Flying J,( NYTP ) Exit 48 A,I-90,empty,,False,,False
D Pembroke ( 14036 ) Flying J Travel Plaza # 693 FLYING J,585-599-4430 I-90 ( NYTP ) Exit 48 A,J XL HRS 24 HAS 24,Pembroke,14036,Flying J Travel Plaza # 693 FLYING J,585-599-4430,I-90 ( NYTP ) Exit 48 A,2016,Corfu,NY,Flying J,( NYTP ) Exit 48 A,I-90,empty,,False,,False
"D Pembroke , 14036 TravelCenters of America / Buffalo I-90 E",585-599-4577 I-90 ( NYTP ) Exit 48 A (,E TA HRS HRS 24,Pembroke,14036,TravelCenters of America / Buffalo I-90 E,585-599-4577,I-90 ( NYTP ) Exit 48 A (,2006,Corfu,NY,TravelCenters,( NYTP ) Exit 48 A (,I-90,empty,,False,,False
"Pembroke , 14036 TravelCenters of America / Buffalo I-90 E",585-599-4577 I-90 ( NYTP ) Exit 48 A ( NY 77 ) TA,24 HRS,Pembroke,14036,TravelCenters of America / Buffalo I-90 E,585-599-4577,I-90 ( NYTP ) Exit 48 A ( NY 77 ) TA,2007,Corfu,NY,TravelCenters,( NYTP ) Exit 48 A ( NY 77 ) TA,I-90,empty,,False,,False
"Pembroke , 14036 TravelCenters of America",585-599-4577 I-90 ( NYTP ) Exit 48 A ( NY 77 ) TA,24 HR L 24 O,Pembroke,14036,TravelCenters of America,585-599-4577,I-90 ( NYTP ) Exit 48 A ( NY 77 ) TA,2008,Corfu,NY,TravelCenters,( NYTP ) Exit 48 A ( NY 77 ) TA,I-90,empty,,False,,False
